"QueueRank","Rank","Candidate","Profile","Phase","Set","Window","From","To","Model","Deposit","PackageConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","RunLabel","StopRule"
"33","33","rsg_mo020_di10","rsg_mo020_di10","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\033_rsg_mo020_di10_older_2015_2018_m1.ini","rsg_mo020_di10_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_older_2015_2018_m1","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"34","34","rsg_mo020_di10","rsg_mo020_di10","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\034_rsg_mo020_di10_repair_2019_m1.ini","rsg_mo020_di10_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_repair_2019_m1","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"35","35","rsg_mo020_di10","rsg_mo020_di10","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\035_rsg_mo020_di10_repair_2020_m1.ini","rsg_mo020_di10_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_repair_2020_m1","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"36","36","rsg_mo020_di10","rsg_mo020_di10","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\036_rsg_mo020_di10_continuous_2015_2020_m1.ini","rsg_mo020_di10_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_di10_continuous_2015_2020_m1","132009ADF9F34B3A6A759C3CFF4A7E9D6630D9103BCDEF136EA3AFD1E3FE369E","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"37","37","rsg_mo020_body25","rsg_mo020_body25","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\037_rsg_mo020_body25_older_2015_2018_m1.ini","rsg_mo020_body25_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_older_2015_2018_m1","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"38","38","rsg_mo020_body25","rsg_mo020_body25","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\038_rsg_mo020_body25_repair_2019_m1.ini","rsg_mo020_body25_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_repair_2019_m1","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"39","39","rsg_mo020_body25","rsg_mo020_body25","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\039_rsg_mo020_body25_repair_2020_m1.ini","rsg_mo020_body25_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_repair_2020_m1","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"40","40","rsg_mo020_body25","rsg_mo020_body25","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\040_rsg_mo020_body25_continuous_2015_2020_m1.ini","rsg_mo020_body25_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_body25_continuous_2015_2020_m1","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"41","41","rsg_mo020_combo20","rsg_mo020_combo20","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\041_rsg_mo020_combo20_older_2015_2018_m1.ini","rsg_mo020_combo20_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_older_2015_2018_m1","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"42","42","rsg_mo020_combo20","rsg_mo020_combo20","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\042_rsg_mo020_combo20_repair_2019_m1.ini","rsg_mo020_combo20_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_repair_2019_m1","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"43","43","rsg_mo020_combo20","rsg_mo020_combo20","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\043_rsg_mo020_combo20_repair_2020_m1.ini","rsg_mo020_combo20_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_repair_2020_m1","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"44","44","rsg_mo020_combo20","rsg_mo020_combo20","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\044_rsg_mo020_combo20_continuous_2015_2020_m1.ini","rsg_mo020_combo20_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo20_continuous_2015_2020_m1","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"45","45","rsg_mo020_combo25","rsg_mo020_combo25","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\045_rsg_mo020_combo25_older_2015_2018_m1.ini","rsg_mo020_combo25_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_older_2015_2018_m1","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"46","46","rsg_mo020_combo25","rsg_mo020_combo25","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\046_rsg_mo020_combo25_repair_2019_m1.ini","rsg_mo020_combo25_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_repair_2019_m1","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"47","47","rsg_mo020_combo25","rsg_mo020_combo25","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\047_rsg_mo020_combo25_repair_2020_m1.ini","rsg_mo020_combo25_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_repair_2020_m1","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"48","48","rsg_mo020_combo25","rsg_mo020_combo25","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\048_rsg_mo020_combo25_continuous_2015_2020_m1.ini","rsg_mo020_combo25_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_continuous_2015_2020_m1","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"49","49","rsg_mo020_combo30","rsg_mo020_combo30","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\049_rsg_mo020_combo30_older_2015_2018_m1.ini","rsg_mo020_combo30_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_older_2015_2018_m1","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"50","50","rsg_mo020_combo30","rsg_mo020_combo30","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\050_rsg_mo020_combo30_repair_2019_m1.ini","rsg_mo020_combo30_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_repair_2019_m1","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"51","51","rsg_mo020_combo30","rsg_mo020_combo30","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\051_rsg_mo020_combo30_repair_2020_m1.ini","rsg_mo020_combo30_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_repair_2020_m1","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"52","52","rsg_mo020_combo30","rsg_mo020_combo30","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\052_rsg_mo020_combo30_continuous_2015_2020_m1.ini","rsg_mo020_combo30_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo30_continuous_2015_2020_m1","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"53","53","rsg_mo020_combo25_di08","rsg_mo020_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","older_2015_2018","2015.01.01","2018.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\053_rsg_mo020_combo25_di08_older_2015_2018_m1.ini","rsg_mo020_combo25_di08_older_2015_2018_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_older_2015_2018_m1","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"54","54","rsg_mo020_combo25_di08","rsg_mo020_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","repair_2019","2019.01.01","2019.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\054_rsg_mo020_combo25_di08_repair_2019_m1.ini","rsg_mo020_combo25_di08_repair_2019_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_repair_2019_m1","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"55","55","rsg_mo020_combo25_di08","rsg_mo020_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","repair_2020","2020.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\055_rsg_mo020_combo25_di08_repair_2020_m1.ini","rsg_mo020_combo25_di08_repair_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_repair_2020_m1","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"56","56","rsg_mo020_combo25_di08","rsg_mo020_combo25_di08","discovery_model1","reversion_shock_guard_portfolio","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","outputs\reversion_shock_guard_portfolio_discovery_model1_package\configs\056_rsg_mo020_combo25_di08_continuous_2015_2020_m1.ini","rsg_mo020_combo25_di08_continuous_2015_2020_m1","outputs\reversion_shock_guard_portfolio_discovery_model1_package\reports_here\rsg_mo020_combo25_di08_continuous_2015_2020_m1","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
