"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","RVUseMinimumBodyGate","RVMinimumBodyPercent","PortfolioOpenRiskPercent","StopRule"
"39","rsg_mo020_body25","10","body_only","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\039_rsg_mo020_body25_repair_2020_m1.ini","rsg_mo020_body25_repair_2020_m1","profiles\rsg_mo020_body25.set","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"40","rsg_mo020_body25","10","body_only","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\040_rsg_mo020_body25_continuous_2015_2020_m1.ini","rsg_mo020_body25_continuous_2015_2020_m1","profiles\rsg_mo020_body25.set","821498C3A2C8904C0710DAF3B44DDF3B71ED57ED77E891E8DAA58AE341E1D892","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-12.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"41","rsg_mo020_combo20","11","lower_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\041_rsg_mo020_combo20_older_2015_2018_m1.ini","rsg_mo020_combo20_older_2015_2018_m1","profiles\rsg_mo020_combo20.set","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"42","rsg_mo020_combo20","11","lower_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\042_rsg_mo020_combo20_repair_2019_m1.ini","rsg_mo020_combo20_repair_2019_m1","profiles\rsg_mo020_combo20.set","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"43","rsg_mo020_combo20","11","lower_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\043_rsg_mo020_combo20_repair_2020_m1.ini","rsg_mo020_combo20_repair_2020_m1","profiles\rsg_mo020_combo20.set","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"44","rsg_mo020_combo20","11","lower_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\044_rsg_mo020_combo20_continuous_2015_2020_m1.ini","rsg_mo020_combo20_continuous_2015_2020_m1","profiles\rsg_mo020_combo20.set","C91D3B40D4C50FCEAC4B45737C0AE351D77B9CCC0D36A8D0ED3085AAC50E0B43","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","20.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"45","rsg_mo020_combo25","12","primary_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\045_rsg_mo020_combo25_older_2015_2018_m1.ini","rsg_mo020_combo25_older_2015_2018_m1","profiles\rsg_mo020_combo25.set","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"46","rsg_mo020_combo25","12","primary_center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\046_rsg_mo020_combo25_repair_2019_m1.ini","rsg_mo020_combo25_repair_2019_m1","profiles\rsg_mo020_combo25.set","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"47","rsg_mo020_combo25","12","primary_center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\047_rsg_mo020_combo25_repair_2020_m1.ini","rsg_mo020_combo25_repair_2020_m1","profiles\rsg_mo020_combo25.set","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"48","rsg_mo020_combo25","12","primary_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\048_rsg_mo020_combo25_continuous_2015_2020_m1.ini","rsg_mo020_combo25_continuous_2015_2020_m1","profiles\rsg_mo020_combo25.set","9B6C49F54D94F5AE1327CF6F822DDF0133C5D7A357C01587E3C25E8464E650D6","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"49","rsg_mo020_combo30","13","upper_body_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\049_rsg_mo020_combo30_older_2015_2018_m1.ini","rsg_mo020_combo30_older_2015_2018_m1","profiles\rsg_mo020_combo30.set","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"50","rsg_mo020_combo30","13","upper_body_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\050_rsg_mo020_combo30_repair_2019_m1.ini","rsg_mo020_combo30_repair_2019_m1","profiles\rsg_mo020_combo30.set","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"51","rsg_mo020_combo30","13","upper_body_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\051_rsg_mo020_combo30_repair_2020_m1.ini","rsg_mo020_combo30_repair_2020_m1","profiles\rsg_mo020_combo30.set","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"52","rsg_mo020_combo30","13","upper_body_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\052_rsg_mo020_combo30_continuous_2015_2020_m1.ini","rsg_mo020_combo30_continuous_2015_2020_m1","profiles\rsg_mo020_combo30.set","957C85FCA3247C749542A0D3D0A6D43571B9C9F12D578EDB59CBFD25CBD5234C","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-10.0","true","30.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"53","rsg_mo020_combo25_di08","14","strict_di_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\053_rsg_mo020_combo25_di08_older_2015_2018_m1.ini","rsg_mo020_combo25_di08_older_2015_2018_m1","profiles\rsg_mo020_combo25_di08.set","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"54","rsg_mo020_combo25_di08","14","strict_di_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\054_rsg_mo020_combo25_di08_repair_2019_m1.ini","rsg_mo020_combo25_di08_repair_2019_m1","profiles\rsg_mo020_combo25_di08.set","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"55","rsg_mo020_combo25_di08","14","strict_di_neighbor","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\055_rsg_mo020_combo25_di08_repair_2020_m1.ini","rsg_mo020_combo25_di08_repair_2020_m1","profiles\rsg_mo020_combo25_di08.set","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"56","rsg_mo020_combo25_di08","14","strict_di_neighbor","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\056_rsg_mo020_combo25_di08_continuous_2015_2020_m1.ini","rsg_mo020_combo25_di08_continuous_2015_2020_m1","profiles\rsg_mo020_combo25_di08.set","CB9D78079DD9AF26C91D06C6D2808EFBA35908CB827B2FE43443EDCF1CEFA1E1","A681A1371E3DC2A07234C373F9E4574CC16F0E3C96C9C48E2B703962D2A5B8A9","reversion_shock_guard_portfolio_discovery_model1","0.45","0.20","-8.0","true","25.0","0.75","Pre-2021 only: both DI -10/body-25 centers plus a same-risk body-20 or body-30 neighbor must pass older profitability, nonnegative 2019/2020, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
